"year","population","water_temp"
1985,"Carmacks",16.1969696969697
1985,"LowerMainstem",15.2272727272727
1985,"MiddleMainstem",16.7878787878788
1985,"Pelly",16.0606060606061
1985,"Stewart",16.3181818181818
1985,"Teslin",15.9242424242424
1985,"UpperMainstem",16.9393939393939
1985,"White-Donjek",15.7121212121212
1986,"Carmacks",15.453125
1986,"LowerMainstem",15.1612903225806
1986,"MiddleMainstem",15.8166666666667
1986,"Pelly",15.453125
1986,"Stewart",15.5161290322581
1986,"Teslin",15.453125
1986,"UpperMainstem",15.25
1986,"White-Donjek",15.40625
1987,"Carmacks",15.1515151515152
1987,"LowerMainstem",14
1987,"MiddleMainstem",15.6666666666667
1987,"Pelly",14.9393939393939
1987,"Stewart",14.8484848484848
1987,"Teslin",15.0909090909091
1987,"UpperMainstem",15.9411764705882
1987,"White-Donjek",14.5625
1988,"Carmacks",17.125
1988,"LowerMainstem",13.0416666666667
1988,"MiddleMainstem",16.5294117647059
1988,"Pelly",15.8518518518519
1988,"Stewart",16.3846153846154
1988,"Teslin",17.1034482758621
1988,"UpperMainstem",15.3235294117647
1988,"White-Donjek",15.4347826086957
1989,"Carmacks",15.1515151515152
1989,"LowerMainstem",13.95
1989,"MiddleMainstem",14.8235294117647
1989,"Pelly",15.16
1989,"Stewart",15.16
1989,"Teslin",15.2307692307692
1989,"UpperMainstem",14.3333333333333
1989,"White-Donjek",15
1990,"Carmacks",15.0608376
1990,"LowerMainstem",14.362152962963
1990,"MiddleMainstem",15.3349648275862
1990,"Pelly",14.6993875862069
1990,"Stewart",14.7299821428571
1990,"Teslin",14.844465
1990,"UpperMainstem",15.6532651851852
1990,"White-Donjek",14.6026693103448
1991,"Carmacks",17.4642857142857
1991,"LowerMainstem",16.0434782608696
1991,"MiddleMainstem",17.3448275862069
1991,"Pelly",17
1991,"Stewart",17.1875
1991,"Teslin",17.1875
1991,"UpperMainstem",17.0344827586207
1991,"White-Donjek",17.2903225806452
1992,"Carmacks",18.0666666666667
1992,"LowerMainstem",16.8387096774194
1992,"MiddleMainstem",18.4137931034483
1992,"Pelly",17.5172413793103
1992,"Stewart",17.6896551724138
1992,"Teslin",17.4
1992,"UpperMainstem",18.7857142857143
1992,"White-Donjek",17.3448275862069
1993,"Carmacks",16.3727272727273
1993,"LowerMainstem",14.0823529411765
1993,"MiddleMainstem",16.9030303030303
1993,"Pelly",15.0848484848485
1993,"Stewart",15.0848484848485
1993,"Teslin",15.4787878787879
1993,"UpperMainstem",17.5909090909091
1993,"White-Donjek",14.6705882352941
1994,"Carmacks",15.1911764705882
1994,"LowerMainstem",13.965625
1994,"MiddleMainstem",14.8852941176471
1994,"Pelly",14.3147058823529
1994,"Stewart",14.2676470588235
1994,"Teslin",14.0875
1994,"UpperMainstem",15.8909090909091
1994,"White-Donjek",14.1272727272727
1995,"Carmacks",15.9477520230769
1995,"LowerMainstem",14.1267877818182
1995,"MiddleMainstem",16.3653931357143
1995,"Pelly",15.6882873565217
1995,"Stewart",15.5688876869565
1995,"Teslin",15.9477520230769
1995,"UpperMainstem",16.8115955115385
1995,"White-Donjek",15.0722774541667
1996,"Carmacks",15.5619047619048
1996,"LowerMainstem",15.3041855659277
1996,"MiddleMainstem",15.592
1996,"Pelly",14.7631578947368
1996,"Stewart",15.1
1996,"Teslin",14.7631578947368
1996,"UpperMainstem",15.9444444444444
1996,"White-Donjek",13.3578947368421
1997,"Carmacks",16.5285714285714
1997,"LowerMainstem",15.1931034482759
1997,"MiddleMainstem",16.51
1997,"Pelly",16.3041666666667
1997,"Stewart",16.3869565217391
1997,"Teslin",16.3869565217391
1997,"UpperMainstem",16.1004166666667
1997,"White-Donjek",15.8962962962963
1998,"Carmacks",15.3835483870968
1998,"LowerMainstem",12.9188461538462
1998,"MiddleMainstem",12.7924242424242
1998,"Pelly",15.6533333333333
1998,"Stewart",16.3296153846154
1998,"Teslin",16.015
1998,"UpperMainstem",11.2666666666667
1998,"White-Donjek",14.3939130434783
1999,"Carmacks",16.4840952380952
1999,"LowerMainstem",16.4445
1999,"MiddleMainstem",15.7600454545455
1999,"Pelly",16.4797727272727
1999,"Stewart",16.4797727272727
1999,"Teslin",16.4797727272727
1999,"UpperMainstem",14.5989130434783
1999,"White-Donjek",16.7328095238095
2000,"Carmacks",16.2229776084236
2000,"LowerMainstem",15.3041855659277
2000,"MiddleMainstem",16.3207406145679
2000,"Pelly",15.8881522932331
2000,"Stewart",15.5040404971751
2000,"Teslin",16.0256969765133
2000,"UpperMainstem",16.3796770419571
2000,"White-Donjek",15.7735067985612
2001,"Carmacks",13.962962962963
2001,"LowerMainstem",13.5555555555556
2001,"MiddleMainstem",16.3207406145679
2001,"Pelly",13.6851851851852
2001,"Stewart",13.7884615384615
2001,"Teslin",14.2272727272727
2001,"UpperMainstem",16.3796770419571
2001,"White-Donjek",13.6851851851852
2002,"Carmacks",14.7142857142857
2002,"LowerMainstem",14.3235294117647
2002,"MiddleMainstem",14.64
2002,"Pelly",14.9032258064516
2002,"Stewart",14.8666666666667
2002,"Teslin",14.7142857142857
2002,"UpperMainstem",16.3796770419571
2002,"White-Donjek",14.8125
2003,"Carmacks",16.1526
2003,"LowerMainstem",13.7956
2003,"MiddleMainstem",16.494365
2003,"Pelly",15.943326969697
2003,"Stewart",15.86976
2003,"Teslin",15.72834
2003,"UpperMainstem",15.999395
2003,"White-Donjek",14.90339
2004,"Carmacks",18.0994117647059
2004,"LowerMainstem",16.3501176470588
2004,"MiddleMainstem",18.7482727272727
2004,"Pelly",17.6191764705882
2004,"Stewart",17.7438529411765
2004,"Teslin",17.6976060606061
2004,"UpperMainstem",18.5810882352941
2004,"White-Donjek",17.3382352941176
2005,"Carmacks",17.2412941176471
2005,"LowerMainstem",17.0754411764706
2005,"MiddleMainstem",17.2059558823529
2005,"Pelly",17.1520294117647
2005,"Stewart",17.195
2005,"Teslin",17.1773970588235
2005,"UpperMainstem",16.9770757575758
2005,"White-Donjek",17.0754411764706
2006,"Carmacks",15.8581323529412
2006,"LowerMainstem",15.2155735294118
2006,"MiddleMainstem",15.8771764705882
2006,"Pelly",15.6573382352941
2006,"Stewart",14.91745
2006,"Teslin",15.8742941176471
2006,"UpperMainstem",15.6336176470588
2006,"White-Donjek",15.8578088235294
2007,"Carmacks",18.0727272727273
2007,"LowerMainstem",16.5612903225806
2007,"MiddleMainstem",17.79375
2007,"Pelly",16.658064516129
2007,"Stewart",16.0774193548387
2007,"Teslin",17.4
2007,"UpperMainstem",17.1212121212121
2007,"White-Donjek",17.8
2008,"Carmacks",15.4264705882353
2008,"LowerMainstem",15.0882352941176
2008,"MiddleMainstem",14.8970588235294
2008,"Pelly",15.3529411764706
2008,"Stewart",14.4545454545455
2008,"Teslin",15.2205882352941
2008,"UpperMainstem",14.3235294117647
2008,"White-Donjek",15.2058823529412
2009,"Carmacks",16.175
2009,"LowerMainstem",15.4833333333333
2009,"MiddleMainstem",16.3207406145679
2009,"Pelly",15.8888888888889
2009,"Stewart",14.8529411764706
2009,"Teslin",16.04
2009,"UpperMainstem",16.3796770419571
2009,"White-Donjek",15.4833333333333
2010,"Carmacks",16.3647058823529
2010,"LowerMainstem",15.548
2010,"MiddleMainstem",16.3207406145679
2010,"Pelly",16.0809523809524
2010,"Stewart",15.0870967741935
2010,"Teslin",16.1947368421053
2010,"UpperMainstem",16.3796770419571
2010,"White-Donjek",15.4115384615385
2011,"Carmacks",14.4029264705882
2011,"LowerMainstem",14.2228529411765
2011,"MiddleMainstem",14.6103970588235
2011,"Pelly",14.2498181818182
2011,"Stewart",13.9857941176471
2011,"Teslin",14.3684117647059
2011,"UpperMainstem",14.6848529411765
2011,"White-Donjek",14.3684117647059
2012,"Carmacks",15.5261911764706
2012,"LowerMainstem",15.9478235294118
2012,"MiddleMainstem",15.0825441176471
2012,"Pelly",15.6965441176471
2012,"Stewart",15.7578823529412
2012,"Teslin",15.6574264705882
2012,"UpperMainstem",14.7682647058824
2012,"White-Donjek",15.6574264705882
2013,"Carmacks",16.1810757575758
2013,"LowerMainstem",15.7004117647059
2013,"MiddleMainstem",16.5599705882353
2013,"Pelly",15.9415294117647
2013,"Stewart",14.9990294117647
2013,"Teslin",15.77025
2013,"UpperMainstem",17.1563970588235
2013,"White-Donjek",15.9415294117647
2014,"Carmacks",16.4090909090909
2014,"LowerMainstem",14.6558823529412
2014,"MiddleMainstem",16.0038461538462
2014,"Pelly",15.4233333333333
2014,"Stewart",12.9617647058824
2014,"Teslin",14.9575757575758
2014,"UpperMainstem",16.3796770419571
2014,"White-Donjek",14.2030303030303
2015,"Carmacks",16.2229776084236
2015,"LowerMainstem",15.3041855659277
2015,"MiddleMainstem",16.3207406145679
2015,"Pelly",15.8881522932331
2015,"Stewart",15.5040404971751
2015,"Teslin",16.0256969765133
2015,"UpperMainstem",16.3796770419571
2015,"White-Donjek",15.7735067985612
2016,"Carmacks",17.3338823529412
2016,"LowerMainstem",16.2573970588235
2016,"MiddleMainstem",17.7079705882353
2016,"Pelly",16.7285294117647
2016,"Stewart",15.3253235294118
2016,"Teslin",17.07075
2016,"UpperMainstem",17.1121764705882
2016,"White-Donjek",17.6228484848485
2017,"Carmacks",17.0421052631579
2017,"LowerMainstem",16.65
2017,"MiddleMainstem",16.3207406145679
2017,"Pelly",16.9333333333333
2017,"Stewart",16.1615384615385
2017,"Teslin",16.8958333333333
2017,"UpperMainstem",16.3796770419571
2017,"White-Donjek",15.7735067985612
2018,"Carmacks",16.6418823529412
2018,"LowerMainstem",15.6342205882353
2018,"MiddleMainstem",17.0193823529412
2018,"Pelly",16.0524117647059
2018,"Stewart",15.2783823529412
2018,"Teslin",16.0118484848485
2018,"UpperMainstem",16.8962058823529
2018,"White-Donjek",15.9654117647059
2019,"Carmacks",18.8779852941176
2019,"LowerMainstem",18.0523823529412
2019,"MiddleMainstem",18.6072941176471
2019,"Pelly",18.8727205882353
2019,"Stewart",16.7519705882353
2019,"Teslin",18.8727205882353
2019,"UpperMainstem",18.2814117647059
2019,"White-Donjek",18.7033235294118
